"contrast","hour","estimate","SE","df","t.ratio","p.value"
"NR F order1 - PR F order1","0",-3.14285714285909,1.40764055296494,893.000000018453,-2.2327128443687,0.333054731714284
"NR F order1 - NR M order1","0",0.576190476190258,1.41990773966296,623.967739399539,0.405794306274454,0.999916188960975
"NR F order1 - PR M order1","0",1.12380952380825,1.41990773966298,623.967739399027,0.79146658083221,0.993538391336526
"NR F order1 - NR F order2","0",-0.876190476191514,1.41990773966297,623.96773939934,-0.617075639294344,0.998652208785363
"NR F order1 - PR F order2","0",-0.304761904762823,1.41990773966298,623.967739398913,-0.214635004972336,0.999998941316031
"NR F order1 - NR M order2","0",0.409523809522452,1.41990773966298,623.967739399169,0.288415787929753,0.999991849891547
"NR F order1 - PR M order2","0",-0.447619047620122,1.41990773966298,623.967739399141,-0.315245163552926,0.999984988794922
"PR F order1 - NR M order1","0",3.71904761904934,1.41990773966305,623.967739398799,2.61921779504624,0.150907360529928
"PR F order1 - PR M order1","0",4.26666666666734,1.41990773966305,623.967739398572,3.00489006960398,0.0555002605903162
"PR F order1 - NR F order2","0",2.26666666666757,1.41990773966306,623.967739398771,1.59634784947749,0.752530597280826
"PR F order1 - PR F order2","0",2.83809523809626,1.41990773966305,623.967739398685,1.99878848379949,0.483474960180225
"PR F order1 - NR M order2","0",3.55238095238154,1.41990773966305,623.967739398799,2.50183927670154,0.196470086311725
"PR F order1 - PR M order2","0",2.69523809523897,1.41990773966306,623.967739398799,1.89817832521889,0.552668000051332
"NR M order1 - PR M order1","0",0.54761904761799,1.28499413952991,892.999999998272,0.426164626570459,0.999883800995221
"NR M order1 - NR F order2","0",-1.45238095238177,1.35382890994897,623.967739398259,-1.07279504943983,0.96222868729876
"NR M order1 - PR F order2","0",-0.880952380953081,1.35382890994897,623.967739398287,-0.650711751299719,0.998104620413036
"NR M order1 - NR M order2","0",-0.166666666667805,1.35382890994897,623.967739398429,-0.123107628625014,0.99999997788255
"NR M order1 - PR M order2","0",-1.02380952381038,1.35382890994897,623.967739398316,-0.756232575834836,0.995117461539814
"PR M order1 - NR F order2","0",-1.99999999999976,1.35382890994898,623.96773939823,-1.47729154348989,0.819452841818821
"PR M order1 - PR F order2","0",-1.42857142857107,1.35382890994898,623.967739398173,-1.05520824534978,0.965487709491689
"PR M order1 - NR M order2","0",-0.714285714285795,1.35382890994898,623.967739398287,-0.527604122675082,0.999515310297375
"PR M order1 - PR M order2","0",-1.57142857142837,1.35382890994898,623.967739398344,-1.1607290698849,0.942575187332364
"NR F order2 - PR F order2","0",0.571428571428691,1.28499413952991,892.999999998155,0.444693523378819,0.999845295572532
"NR F order2 - NR M order2","0",1.28571428571397,1.35382890994898,623.967739398344,0.949687420814803,0.98091168530432
"NR F order2 - PR M order2","0",0.428571428571392,1.35382890994898,623.967739398287,0.316562473604986,0.999984553579149
"PR F order2 - NR M order2","0",0.714285714285275,1.35382890994898,623.967739398316,0.527604122674698,0.999515310297377
"PR F order2 - PR M order2","0",-0.142857142857299,1.35382890994898,623.967739398259,-0.10552082453512,0.999999992459613
"NR M order2 - PR M order2","0",-0.857142857142574,1.28499413952993,892.999999999793,-0.66704028506786,0.997787060736009
"NR F order1 - PR F order1","1",-0.571428571428548,1.40764055296496,893.000000000495,-0.405947789884944,0.999916293783326
"NR F order1 - NR M order1","1",-3.87619047619041,1.41990773966305,623.967739398401,-2.7298889694835,0.115604563262925
"NR F order1 - PR M order1","1",-4.59047619047612,1.41990773966305,623.967739398372,-3.23293976238587,0.0280545699979668
"NR F order1 - NR F order2","1",-0.566666666666637,1.41990773966305,623.967739398372,-0.399086962369195,0.999925124139281
"NR F order1 - PR F order2","1",0.338095238095267,1.41990773966305,623.967739398401,0.238110708640477,0.999997827681439
"NR F order1 - NR M order2","1",-3.47142857142858,1.41990773966305,623.967739398372,-2.44482685350554,0.221745618812181
"NR F order1 - PR M order2","1",-4.1857142857143,1.41990773966305,623.967739398372,-2.94787764640791,0.0651495282248189
"PR F order1 - NR M order1","1",-3.30476190476187,1.41990773966305,623.967739398372,-2.32744833516162,0.280256739093889
