"Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"F",1,"NR",1352,96.454652557562,5
"F",1,"PR",1400.8,252.930227533207,5
"F",2,"NR",1441.83333333333,202.908271558029,6
"F",2,"PR",1365.83333333333,78.0420826648461,6
"M",1,"NR",1333,52.1536192416212,6
"M",1,"PR",1338.33333333333,185.875944292602,6
"M",2,"NR",1616.33333333333,246.240262074801,6
"M",2,"PR",1469,94.0106376959544,6
