"F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
1,NA,NA,NA,NA,NA,NA,"M.1.NR"
1,1,NA,NA,NA,NA,NA,"F.2.NR"
0.335081750340627,0.158121544777095,1,NA,NA,NA,NA,"M.2.NR"
1,1,1,0.957131589521298,NA,NA,NA,"F.1.PR"
1,1,1,0.176080182776955,1,NA,NA,"M.1.PR"
1,1,1,0.335081750340627,1,1,NA,"F.2.PR"
1,1,1,1,1,1,1,"M.2.PR"
