"","F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
"M.1.NR",1,NA,NA,NA,NA,NA,NA,"M.1.NR"
"F.2.NR",1,1,NA,NA,NA,NA,NA,"F.2.NR"
"M.2.NR",0.370453908485337,0.0888566221998142,0.0487966768806487,NA,NA,NA,NA,"M.2.NR"
"F.1.PR",1,1,1,0.0226129653052394,NA,NA,NA,"F.1.PR"
"M.1.PR",1,1,1,0.0271062866968953,1,NA,NA,"M.1.PR"
"F.2.PR",0.162077981306662,0.370453908485337,0.582279349209489,6.43044772759996e-05,1,0.906332263814226,NA,"F.2.PR"
"M.2.PR",1,1,1,0.00145590178993044,1,1,1,"M.2.PR"
