"Sum Sq","Df","F value","Pr(>F)","Factor"
32572.1219336223,1,1.16424079275794,0.287389280233254,"Sex"
169072.773448774,1,6.0432482782338,0.0186304984656553,"Order"
24610.7826086951,1,0.879674867763645,0.35421409927225,"Diet_Phase"
92126.2507936512,1,3.29291224797676,0.0774797286256326,"Sex:Order"
9654.37518037506,1,0.345080908038111,0.560385636992699,"Sex:Diet_Phase"
55644.6782106778,1,1.98893410766363,0.166585934761947,"Order:Diet_Phase"
554.679365079384,1,0.0198261674521086,0.888767430182085,"Sex:Order:Diet_Phase"
1063131.13333333,38,NA,NA,"Residuals"
