"term","df","sumsq","meansq","statistic","p.value"
"order",1,2.70615433521521e-07,2.70615433521521e-07,0.000224968482271549,0.988189399250941
"sex",1,0.00105419625369045,0.00105419625369045,0.876376221869229,0.360943493492339
"order:sex",1,3.58132289161858e-07,3.58132289161858e-07,0.000297723143490896,0.98641336512816
"Residuals",19,0.0228551714666528,0.00120290376140278,NA,NA
