"sex","order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"F",1,"preference_ratio",0.514811209593476,0.0475030589355766,5
"F",2,"preference_ratio",0.514673937550274,0.028467016352999,6
"M",1,"preference_ratio",0.501506383893306,0.0324631723804377,6
"M",2,"preference_ratio",0.500868419726725,0.0300262089797754,6
