"Factor","Sum.Sq","Df","F.value","Pr..F."
"Order",50390.3267457181,1,4.90801126012525,0.0322083233766026
"Diet_Phase",165600,1,16.1294184254482,0.000239459334196803
"Order:Diet_Phase",39577.0757575757,1,3.85480202264251,0.0562474862265419
"Residuals",431212.075757576,42,NA,NA
