"Factor","Sum.Sq","Df","F.value","Pr..F."
"(Intercept)",3874883.93541347,1,135.842977545762,9.56515172289647e-15
"Order",14746.2058629778,1,0.516962196886014,0.47612194085627
"Diet_Phase",29302.8053415511,1,1.02727730543377,0.316602534025307
"Order:Diet_Phase",53668.4295125164,1,1.88147035800367,0.177450614014828
"Residuals",1198038.56060606,42,NA,NA
