mouse_id,sex,order,PR,NR
FEDXA01,M,2,98,169
FEDXA02,M,2,72,125
FEDXA03,M,2,93,216
FEDXA04,M,2,91,190
FEDXA05,M,2,57,154
FEDXA06,M,2,32,100
FEDXA07,M,1,93,128
FEDXA08,M,1,93,95
FEDXA09,M,1,78,117
FEDXA10,M,1,98,129
FEDXA11,M,1,71,102
FEDXA12,M,1,106,105
FEDXB01,F,2,40,73
FEDXB02,F,2,66,88
FEDXB03,F,2,46,64
FEDXB04,F,2,49,144
FEDXB05,F,2,73,119
FEDXB06,F,2,44,159
FEDXB07,F,1,119,130
FEDXB08,F,1,122,140
FEDXB10,F,1,46,60
FEDXB11,F,1,31,39
FEDXB12,F,1,132,145
