mouse_id,sex,order,PR,NR
FEDXA01,M,2,0.5815831987075929,1.0133227626203154
FEDXA02,M,2,0.429622754,0.7545967518802036
FEDXA03,M,2,0.5521545241048105,1.2983391744125663
FEDXA04,M,2,0.5419632768595246,1.1394283867593091
FEDXA05,M,2,0.3402787566227499,0.9249094943360971
FEDXA06,M,2,0.1904991839292771,0.6005464973125545
FEDXA07,M,1,0.5595284452028124,0.7616340090741552
FEDXA08,M,1,0.5592387137509583,0.5657081607537482
FEDXA09,M,1,0.4689143830469415,0.7000852667953148
FEDXA10,M,1,0.5887653950135177,0.7668883883454102
FEDXA11,M,1,0.4273289931687548,0.6049403461603092
FEDXA12,M,1,0.6380118640780595,0.6244342097438168
FEDXB01,F,2,0.2405922579416329,0.4378299760259765
FEDXB02,F,2,0.3912379816994153,0.5294798963101869
FEDXB03,F,2,0.2723643893429209,0.3859477496431993
FEDXB04,F,2,0.3068220953653166,0.8671274396322737
FEDXB05,F,2,0.4315561474582033,0.7109264280759516
FEDXB06,F,2,0.2621236316699625,0.9488336010423244
FEDXB07,F,1,0.7173488234240177,0.7679294292545014
FEDXB08,F,1,0.7282543451514378,0.8299192475398821
FEDXB10,F,1,0.2747863602422633,0.355964549
FEDXB11,F,1,0.1863133168945777,0.2321240507961491
FEDXB12,F,1,0.8052449371410755,0.8665971618112877
