"order","sex","diet","hour","mean_pellet_intake","sd_pellet_intake"
"1","F","NR","0",0.171428571428571,0.119522860933439
"1","F","NR","1",0.142857142857143,0.174963553055941
"1","F","NR","2",0.114285714285714,0.119522860933439
"1","F","NR","3",0.114285714285714,0.119522860933439
"1","F","NR","4",0.2,0.216653584115759
"1","F","NR","5",0.114285714285714,0.119522860933439
"1","F","NR","6",0.257142857142857,0.15649215928719
"1","F","NR","7",0.2,0.216653584115759
"1","F","NR","8",0.228571428571429,0.278479838423113
"1","F","NR","9",0.2,0.127775312999988
"1","F","NR","10",0.314285714285714,0.186262925862933
"1","F","NR","11",0.542857142857143,0.274791200881019
"1","F","NR","12",0.714285714285714,0.202030508910442
"1","F","NR","13",0.542857142857143,0.556959676846226
"1","F","NR","14",0.942857142857143,0.88409991124376
"1","F","NR","15",0.657142857142857,0.594189552659584
"1","F","NR","16",0.857142857142857,0.662401321106836
"1","F","NR","17",0.771428571428571,0.651528814342365
"1","F","NR","18",0.714285714285714,0.677630927178938
"1","F","NR","19",0.542857142857143,0.456249126362037
"1","F","NR","20",0.428571428571429,0.440315285926355
"1","F","NR","21",0.314285714285714,0.234738238930785
"1","F","NR","22",0.542857142857143,0.421368034392932
"1","F","NR","23",0.4,0.119522860933439
"1","F","PR","0",0.314285714285714,0.309706905552554
"1","F","PR","1",0.0857142857142857,0.0782460796435952
"1","F","PR","2",0.0857142857142857,0.191662969499982
"1","F","PR","3",0.0285714285714286,0.063887656499994
"1","F","PR","4",0.0571428571428571,0.0782460796435952
"1","F","PR","5",0.171428571428571,0.309706905552554
"1","F","PR","6",0.0571428571428571,0.0782460796435952
"1","F","PR","7",0.0285714285714286,0.063887656499994
"1","F","PR","8",0.0571428571428571,0.127775312999988
"1","F","PR","9",0.0857142857142857,0.0782460796435952
"1","F","PR","10",0.228571428571429,0.127775312999988
"1","F","PR","11",0.171428571428571,0.119522860933439
"1","F","PR","12",0.514285714285714,0.385978745317323
"1","F","PR","13",0.285714285714286,0.267261241912424
"1","F","PR","14",0.457142857142857,0.396412483586046
"1","F","PR","15",0.771428571428571,0.732621794569033
"1","F","PR","16",0.6,0.538326962326193
"1","F","PR","17",0.657142857142857,0.398978286964827
"1","F","PR","18",0.657142857142857,0.520988072251728
"1","F","PR","19",0.371428571428571,0.423782770691181
"1","F","PR","20",0.485714285714286,0.328881840949181
"1","F","PR","21",0.257142857142857,0.274791200881019
"1","F","PR","22",0.257142857142857,0.186262925862933
"1","F","PR","23",0.428571428571429,0.484452141651805
"1","M","NR","0",0.238095238095238,0.147542222712663
"1","M","NR","1",0.142857142857143,0.15649215928719
"1","M","NR","2",0.142857142857143,0.127775312999988
"1","M","NR","3",0.404761904761905,0.140456011464311
"1","M","NR","4",0.30952380952381,0.210280020626853
"1","M","NR","5",0.333333333333333,0.215077900774023
"1","M","NR","6",0.238095238095238,0.195180014589707
"1","M","NR","7",0.0714285714285714,0.119522860933439
"1","M","NR","8",0.285714285714286,0.18070158058105
"1","M","NR","9",0.166666666666667,0.167006456350002
"1","M","NR","10",0.404761904761905,0.0583211843519804
"1","M","NR","11",0.571428571428571,0.127775312999988
"1","M","NR","12",0.452380952380952,0.210280020626854
"1","M","NR","13",0.285714285714286,0.239045721866879
"1","M","NR","14",0.476190476190476,0.334012912700003
"1","M","NR","15",0.666666666666667,0.295084445425327
"1","M","NR","16",0.642857142857143,0.282120252259021
"1","M","NR","17",0.69047619047619,0.262121122752817
"1","M","NR","18",0.428571428571429,0.221313334068995
"1","M","NR","19",0.285714285714286,0.18070158058105
"1","M","NR","20",0.357142857142857,0.267261241912424
"1","M","NR","21",0.452380952380952,0.189880019403589
"1","M","NR","22",0.30952380952381,0.246057346338358
"1","M","NR","23",0.5,0.309706905552554
"1","M","PR","0",0.19047619047619,0.116642368703961
"1","M","PR","1",0.285714285714286,0.239045721866879
"1","M","PR","2",0.119047619047619,0.107538950387012
"1","M","PR","3",0.0238095238095238,0.0583211843519804
"1","M","PR","4",0.119047619047619,0.107538950387012
"1","M","PR","5",0.380952380952381,0.295084445425327
"1","M","PR","6",0.142857142857143,0.18070158058105
