"","diff","lwr","upr","p adj","Group1","Group2"
"2.NR-1.NR",-0.111793959002461,-0.55259171622895,0.329003798224029,0.904701796443983,"2.NR-1.NR",""
"1.PR-1.NR",0.179239659085447,-0.271038704413983,0.629518022584877,0.712523224465373,"1.PR-1.NR",""
"2.PR-1.NR",0.671346706969393,0.230548949742903,1.11214446419588,0.00111102877290459,"2.PR-1.NR",""
"1.PR-2.NR",0.291033618087908,-0.149764139138582,0.731831375314397,0.303692762436521,"1.PR-2.NR",""
"2.PR-2.NR",0.783140665971853,0.352031954721337,1.21424937722237,9.62313742560728e-05,"2.PR-2.NR",""
"2.PR-1.PR",0.492107047883945,0.0513092906574562,0.932904805110435,0.0233799229473911,"2.PR-1.PR",""
