mouse_id,sex,order,hour,PR,NR
FEDXA01,M,2.0,0,0.7142857142857143,0.5714285714285714
FEDXA01,M,2.0,1,1.2857142857142858,0.42857142857142855
FEDXA01,M,2.0,2,0.5714285714285714,0.42857142857142855
FEDXA01,M,2.0,3,0.7142857142857143,0.14285714285714285
FEDXA01,M,2.0,4,0.5714285714285714,0.2857142857142857
FEDXA01,M,2.0,5,0.2857142857142857,0.14285714285714285
FEDXA01,M,2.0,6,0.2857142857142857,0.2857142857142857
FEDXA01,M,2.0,7,0.2857142857142857,0.0
FEDXA01,M,2.0,8,0.14285714285714285,0.0
FEDXA01,M,2.0,9,1.0,0.0
FEDXA01,M,2.0,10,0.2857142857142857,0.14285714285714285
FEDXA01,M,2.0,11,0.5714285714285714,0.0
FEDXA01,M,2.0,12,1.0,0.0
FEDXA01,M,2.0,13,5.285714285714286,1.7142857142857142
FEDXA01,M,2.0,14,4.0,2.857142857142857
FEDXA01,M,2.0,15,4.285714285714286,2.7142857142857144
FEDXA01,M,2.0,16,3.7142857142857144,2.2857142857142856
FEDXA01,M,2.0,17,2.5714285714285716,1.2857142857142858
FEDXA01,M,2.0,18,3.5714285714285716,0.5714285714285714
FEDXA01,M,2.0,19,1.0,0.14285714285714285
FEDXA01,M,2.0,20,0.5714285714285714,0.2857142857142857
FEDXA01,M,2.0,21,1.0,0.14285714285714285
FEDXA01,M,2.0,22,1.1428571428571428,0.0
FEDXA01,M,2.0,23,1.7142857142857142,0.2857142857142857
FEDXA02,M,2.0,0,1.1428571428571428,0.5714285714285714
FEDXA02,M,2.0,1,0.8571428571428571,0.7142857142857143
FEDXA02,M,2.0,2,0.8571428571428571,0.8571428571428571
FEDXA02,M,2.0,3,0.5714285714285714,0.42857142857142855
FEDXA02,M,2.0,4,0.2857142857142857,0.2857142857142857
FEDXA02,M,2.0,5,0.2857142857142857,0.5714285714285714
FEDXA02,M,2.0,6,0.14285714285714285,0.14285714285714285
FEDXA02,M,2.0,7,0.7142857142857143,0.8571428571428571
FEDXA02,M,2.0,8,0.14285714285714285,0.14285714285714285
FEDXA02,M,2.0,9,0.8571428571428571,0.5714285714285714
FEDXA02,M,2.0,10,0.0,0.2857142857142857
FEDXA02,M,2.0,11,1.1428571428571428,0.5714285714285714
FEDXA02,M,2.0,12,1.0,0.2857142857142857
FEDXA02,M,2.0,13,3.0,1.5714285714285714
FEDXA02,M,2.0,14,2.857142857142857,0.8571428571428571
FEDXA02,M,2.0,15,1.8571428571428572,0.5714285714285714
FEDXA02,M,2.0,16,1.2857142857142858,0.8571428571428571
FEDXA02,M,2.0,17,1.2857142857142858,1.1428571428571428
FEDXA02,M,2.0,18,0.42857142857142855,0.5714285714285714
FEDXA02,M,2.0,19,1.4285714285714286,0.2857142857142857
FEDXA02,M,2.0,20,0.42857142857142855,0.14285714285714285
FEDXA02,M,2.0,21,0.2857142857142857,0.42857142857142855
FEDXA02,M,2.0,22,0.2857142857142857,0.14285714285714285
FEDXA02,M,2.0,23,0.7142857142857143,1.1428571428571428
FEDXA03,M,2.0,0,1.5714285714285714,0.7142857142857143
FEDXA03,M,2.0,1,1.2857142857142858,0.2857142857142857
FEDXA03,M,2.0,2,1.2857142857142858,1.0
FEDXA03,M,2.0,3,0.7142857142857143,0.5714285714285714
FEDXA03,M,2.0,4,0.7142857142857143,0.14285714285714285
FEDXA03,M,2.0,5,0.7142857142857143,0.14285714285714285
FEDXA03,M,2.0,6,0.2857142857142857,0.14285714285714285
FEDXA03,M,2.0,7,0.14285714285714285,0.0
FEDXA03,M,2.0,8,0.2857142857142857,0.0
FEDXA03,M,2.0,9,0.14285714285714285,0.14285714285714285
FEDXA03,M,2.0,10,0.7142857142857143,0.0
FEDXA03,M,2.0,11,0.2857142857142857,0.0
FEDXA03,M,2.0,12,1.0,0.14285714285714285
FEDXA03,M,2.0,13,3.857142857142857,1.4285714285714286
FEDXA03,M,2.0,14,3.857142857142857,0.7142857142857143
FEDXA03,M,2.0,15,3.5714285714285716,1.5714285714285714
FEDXA03,M,2.0,16,1.2857142857142858,0.8571428571428571
FEDXA03,M,2.0,17,2.2857142857142856,0.7142857142857143
FEDXA03,M,2.0,18,1.8571428571428572,0.7142857142857143
FEDXA03,M,2.0,19,0.7142857142857143,0.14285714285714285
FEDXA03,M,2.0,20,1.2857142857142858,0.2857142857142857
FEDXA03,M,2.0,21,0.14285714285714285,0.0
FEDXA03,M,2.0,22,0.2857142857142857,0.2857142857142857
FEDXA03,M,2.0,23,1.7142857142857142,0.5714285714285714
FEDXA04,M,2.0,0,1.2857142857142858,0.14285714285714285
FEDXA04,M,2.0,1,0.5714285714285714,0.0
FEDXA04,M,2.0,2,1.0,1.0
FEDXA04,M,2.0,3,1.0,0.42857142857142855
FEDXA04,M,2.0,4,0.14285714285714285,0.2857142857142857
FEDXA04,M,2.0,5,0.5714285714285714,0.14285714285714285
FEDXA04,M,2.0,6,0.14285714285714285,0.0
FEDXA04,M,2.0,7,0.42857142857142855,0.0
FEDXA04,M,2.0,8,0.0,0.0
FEDXA04,M,2.0,9,0.0,0.0
FEDXA04,M,2.0,10,0.2857142857142857,0.0
FEDXA04,M,2.0,11,0.14285714285714285,0.0
FEDXA04,M,2.0,12,1.2857142857142858,0.42857142857142855
FEDXA04,M,2.0,13,3.0,2.5714285714285716
FEDXA04,M,2.0,14,4.0,1.4285714285714286
FEDXA04,M,2.0,15,3.0,2.2857142857142856
FEDXA04,M,2.0,16,2.142857142857143,0.5714285714285714
FEDXA04,M,2.0,17,3.142857142857143,0.0
FEDXA04,M,2.0,18,2.5714285714285716,0.42857142857142855
FEDXA04,M,2.0,19,0.7142857142857143,0.14285714285714285
FEDXA04,M,2.0,20,0.5714285714285714,0.14285714285714285
FEDXA04,M,2.0,21,0.42857142857142855,0.14285714285714285
FEDXA04,M,2.0,22,0.8571428571428571,0.14285714285714285
FEDXA04,M,2.0,23,1.2857142857142858,0.5714285714285714
FEDXA05,M,2.0,0,1.1428571428571428,0.8571428571428571
FEDXA05,M,2.0,1,1.7142857142857142,0.0
FEDXA05,M,2.0,2,1.0,0.0
FEDXA05,M,2.0,3,0.7142857142857143,0.8571428571428571
FEDXA05,M,2.0,4,0.7142857142857143,0.14285714285714285
FEDXA05,M,2.0,5,0.14285714285714285,0.14285714285714285
FEDXA05,M,2.0,6,0.0,0.14285714285714285
FEDXA05,M,2.0,7,0.14285714285714285,0.0
FEDXA05,M,2.0,8,0.42857142857142855,0.14285714285714285
FEDXA05,M,2.0,9,0.14285714285714285,0.0
FEDXA05,M,2.0,10,0.2857142857142857,0.0
FEDXA05,M,2.0,11,0.7142857142857143,0.2857142857142857
FEDXA05,M,2.0,12,1.1428571428571428,0.14285714285714285
FEDXA05,M,2.0,13,4.714285714285714,2.142857142857143
FEDXA05,M,2.0,14,3.142857142857143,2.0
FEDXA05,M,2.0,15,2.142857142857143,1.1428571428571428
FEDXA05,M,2.0,16,1.7142857142857142,0.42857142857142855
FEDXA05,M,2.0,17,2.4285714285714284,0.7142857142857143
FEDXA05,M,2.0,18,1.0,0.7142857142857143
FEDXA05,M,2.0,19,1.7142857142857142,0.2857142857142857
FEDXA05,M,2.0,20,0.42857142857142855,1.1428571428571428
FEDXA05,M,2.0,21,0.5714285714285714,0.14285714285714285
FEDXA05,M,2.0,22,0.8571428571428571,0.7142857142857143
FEDXA05,M,2.0,23,0.8571428571428571,0.2857142857142857
FEDXA06,M,2.0,0,2.2857142857142856,0.8571428571428571
FEDXA06,M,2.0,1,2.2857142857142856,0.42857142857142855
FEDXA06,M,2.0,2,0.7142857142857143,0.8571428571428571
FEDXA06,M,2.0,3,1.1428571428571428,2.2857142857142856
FEDXA06,M,2.0,4,0.2857142857142857,0.14285714285714285
FEDXA06,M,2.0,5,0.2857142857142857,0.5714285714285714
FEDXA06,M,2.0,6,0.2857142857142857,0.2857142857142857
FEDXA06,M,2.0,7,0.2857142857142857,0.2857142857142857
FEDXA06,M,2.0,8,0.2857142857142857,0.0
FEDXA06,M,2.0,9,0.0,0.0
FEDXA06,M,2.0,10,0.2857142857142857,0.0
FEDXA06,M,2.0,11,0.42857142857142855,0.14285714285714285
FEDXA06,M,2.0,12,1.1428571428571428,0.14285714285714285
FEDXA06,M,2.0,13,4.428571428571429,2.0
FEDXA06,M,2.0,14,3.7142857142857144,0.5714285714285714
FEDXA06,M,2.0,15,3.7142857142857144,1.5714285714285714
FEDXA06,M,2.0,16,3.7142857142857144,1.0
FEDXA06,M,2.0,17,3.4285714285714284,0.7142857142857143
FEDXA06,M,2.0,18,2.2857142857142856,0.5714285714285714
FEDXA06,M,2.0,19,1.5714285714285714,0.7142857142857143
FEDXA06,M,2.0,20,1.7142857142857142,0.42857142857142855
FEDXA06,M,2.0,21,3.0,0.42857142857142855
FEDXA06,M,2.0,22,1.8571428571428572,0.5714285714285714
FEDXA06,M,2.0,23,3.2857142857142856,0.42857142857142855
FEDXA07,M,1.0,0,0.14285714285714285,0.2857142857142857
FEDXA07,M,1.0,1,0.2857142857142857,0.7142857142857143
FEDXA07,M,1.0,2,0.8571428571428571,0.2857142857142857
FEDXA07,M,1.0,3,0.2857142857142857,0.42857142857142855
FEDXA07,M,1.0,4,0.42857142857142855,0.14285714285714285
FEDXA07,M,1.0,5,0.14285714285714285,0.14285714285714285
FEDXA07,M,1.0,6,0.5714285714285714,0.14285714285714285
FEDXA07,M,1.0,7,0.14285714285714285,0.0
FEDXA07,M,1.0,8,0.0,0.0
FEDXA07,M,1.0,9,0.0,0.0
FEDXA07,M,1.0,10,0.2857142857142857,0.14285714285714285
FEDXA07,M,1.0,11,0.14285714285714285,0.0
FEDXA07,M,1.0,12,0.14285714285714285,0.2857142857142857
FEDXA07,M,1.0,13,0.8571428571428571,0.14285714285714285
FEDXA07,M,1.0,14,1.1428571428571428,0.0
FEDXA07,M,1.0,15,0.5714285714285714,0.0
FEDXA07,M,1.0,16,0.2857142857142857,0.42857142857142855
FEDXA07,M,1.0,17,0.5714285714285714,0.2857142857142857
FEDXA07,M,1.0,18,0.7142857142857143,0.7142857142857143
FEDXA07,M,1.0,19,0.2857142857142857,0.5714285714285714
FEDXA07,M,1.0,20,0.14285714285714285,0.5714285714285714
FEDXA07,M,1.0,21,0.14285714285714285,0.0
FEDXA07,M,1.0,22,0.0,0.2857142857142857
FEDXA07,M,1.0,23,0.42857142857142855,0.5714285714285714
FEDXA08,M,1.0,0,0.7142857142857143,0.8571428571428571
FEDXA08,M,1.0,1,0.2857142857142857,1.0
FEDXA08,M,1.0,2,1.1428571428571428,0.42857142857142855
FEDXA08,M,1.0,3,1.8571428571428572,0.5714285714285714
FEDXA08,M,1.0,4,0.7142857142857143,0.5714285714285714
FEDXA08,M,1.0,5,0.42857142857142855,0.0
FEDXA08,M,1.0,6,0.0,0.0
FEDXA08,M,1.0,7,0.14285714285714285,0.2857142857142857
FEDXA08,M,1.0,8,0.0,0.0
FEDXA08,M,1.0,9,0.2857142857142857,0.0
FEDXA08,M,1.0,10,0.0,0.0
FEDXA08,M,1.0,11,0.42857142857142855,0.0
FEDXA08,M,1.0,12,0.0,0.42857142857142855
