order,sex,diet,hour,mean_pellet_intake,sd_pellet_intake,Comparison
1,F,NR,0,1.0,0.788954358370519,PR
1,F,PR,0,1.28571428571429,1.04490991702341,PR
1,F,NR,1,0.114285714285714,0.15649215928719,PR
1,F,PR,1,0.342857142857143,0.328881840949181,PR
1,F,NR,2,0.828571428571429,0.955115122882673,NR
1,F,PR,2,0.771428571428571,0.682133507789333,NR
1,F,NR,3,0.885714285714286,0.83543951526934,PR
1,F,PR,3,1.48571428571429,1.21889880044009,PR
1,F,NR,4,0.828571428571429,1.30696720131231,NR
1,F,PR,4,0.542857142857143,0.444926042925641,NR
1,F,NR,5,0.342857142857143,0.162882203585591,PR
1,F,PR,5,0.771428571428571,0.68957247920841,PR
1,F,NR,6,0.342857142857143,0.435655733770769,PR
1,F,PR,6,0.514285714285714,0.385978745317323,PR
1,F,NR,7,0.114285714285714,0.186262925862933,NR
1,F,PR,7,0.0571428571428571,0.0782460796435952,NR
1,F,NR,8,0.228571428571429,0.312984318574381,PR
1,F,PR,8,0.285714285714286,0.225876975726313,PR
1,F,NR,9,0.2,0.216653584115759,PR
1,F,PR,9,0.371428571428571,0.411567436882512,PR
1,F,NR,10,0.0857142857142857,0.0782460796435952,PR
1,F,PR,10,0.228571428571429,0.216653584115759,PR
1,F,NR,11,0.228571428571429,0.239045721866879,PR
1,F,PR,11,0.485714285714286,0.540219154319687,PR
1,F,NR,12,0.257142857142857,0.355711417085392,PR
1,F,PR,12,0.4,0.309706905552554,PR
1,F,NR,13,2.05714285714286,2.16794833886788,NR
1,F,PR,13,2.0,1.98976975388345,NR
1,F,NR,14,2.08571428571429,2.77672542424213,PR
1,F,PR,14,2.54285714285714,2.48341437113815,PR
1,F,NR,15,1.71428571428571,1.77855708542696,NR
1,F,PR,15,1.68571428571429,1.34922502321344,NR
1,F,NR,16,1.42857142857143,1.48804761828569,NR
1,F,PR,16,1.25714285714286,1.09916480352408,NR
1,F,NR,17,1.37142857142857,1.42356264781178,NR
1,F,PR,17,1.17142857142857,0.976248546472565,NR
1,F,NR,18,0.771428571428571,0.643650304346789,PR
1,F,PR,18,1.0,0.788954358370519,PR
1,F,NR,19,0.685714285714286,0.592469752952221,PR
1,F,PR,19,1.14285714285714,1.0973065354098,PR
1,F,NR,20,0.171428571428571,0.234738238930785,PR
1,F,PR,20,1.05714285714286,0.67461251160672,PR
1,F,NR,21,0.485714285714286,0.549582401762038,NR
1,F,PR,21,0.314285714285714,0.119522860933439,NR
1,F,NR,22,0.485714285714286,0.458480186739463,PR
1,F,PR,22,0.685714285714286,0.583794764048644,PR
1,F,NR,23,0.857142857142857,0.755928946018454,PR
1,F,PR,23,1.08571428571429,0.779848232226067,PR
1,M,NR,0,0.666666666666667,0.265985524643218,NR
1,M,PR,0,0.547619047619048,0.418126693686004,NR
1,M,NR,1,0.833333333333333,0.291605921759902,NR
1,M,PR,1,0.5,0.369776545872708,NR
1,M,NR,2,0.595238095238095,0.377063483711031,PR
1,M,PR,2,1.0,0.556959676846226,PR
1,M,NR,3,0.738095238095238,0.377063483711032,PR
1,M,PR,3,0.904761904761905,0.597044876901237,PR
1,M,NR,4,0.214285714285714,0.216653584115759,PR
1,M,PR,4,1.14285714285714,0.645233702322069,PR
1,M,NR,5,0.0476190476190476,0.0737711113563317,PR
1,M,PR,5,0.261904761904762,0.398124856496733,PR
1,M,NR,6,0.0714285714285714,0.0782460796435952,PR
1,M,PR,6,0.238095238095238,0.280912022928621,PR
1,M,NR,7,0.0952380952380952,0.116642368703961,PR
1,M,PR,7,0.119047619047619,0.107538950387012,PR
1,M,NR,8,0.0714285714285714,0.119522860933439,PR
1,M,PR,8,0.0952380952380952,0.173008591662714,PR
1,M,NR,9,0.0476190476190476,0.116642368703961,PR
1,M,PR,9,0.19047619047619,0.215077900774023,PR
1,M,NR,10,0.166666666666667,0.107538950387012,PR
1,M,PR,10,0.357142857142857,0.540219154319687,PR
1,M,NR,11,0.142857142857143,0.18070158058105,PR
1,M,PR,11,0.261904761904762,0.167006456350002,PR
1,M,NR,12,0.261904761904762,0.167006456350002,PR
1,M,PR,12,0.523809523809524,0.617213399848368,PR
1,M,NR,13,1.38095238095238,1.08295388435808,PR
1,M,PR,13,2.38095238095238,1.70872112738049,PR
1,M,NR,14,1.45238095238095,1.69372591731756,PR
1,M,PR,14,1.5,1.54325391723502,PR
1,M,NR,15,1.42857142857143,1.38505138783324,NR
1,M,PR,15,1.30952380952381,1.25654747806275,NR
