"order","sex","diet","hour","mean_pellet_intake","sd_pellet_intake"
"1","F","NR","0",1,0.788954358370519
"1","F","NR","1",0.114285714285714,0.15649215928719
"1","F","NR","2",0.828571428571429,0.955115122882673
"1","F","NR","3",0.885714285714286,0.83543951526934
"1","F","NR","4",0.828571428571429,1.30696720131231
"1","F","NR","5",0.342857142857143,0.162882203585591
"1","F","NR","6",0.342857142857143,0.435655733770769
"1","F","NR","7",0.114285714285714,0.186262925862933
"1","F","NR","8",0.228571428571429,0.312984318574381
"1","F","NR","9",0.2,0.216653584115759
"1","F","NR","10",0.0857142857142857,0.0782460796435952
"1","F","NR","11",0.228571428571429,0.239045721866879
"1","F","NR","12",0.257142857142857,0.355711417085392
"1","F","NR","13",2.05714285714286,2.16794833886788
"1","F","NR","14",2.08571428571429,2.77672542424213
"1","F","NR","15",1.71428571428571,1.77855708542696
"1","F","NR","16",1.42857142857143,1.48804761828569
"1","F","NR","17",1.37142857142857,1.42356264781178
"1","F","NR","18",0.771428571428571,0.643650304346789
"1","F","NR","19",0.685714285714286,0.592469752952221
"1","F","NR","20",0.171428571428571,0.234738238930785
"1","F","NR","21",0.485714285714286,0.549582401762038
"1","F","NR","22",0.485714285714286,0.458480186739463
"1","F","NR","23",0.857142857142857,0.755928946018454
"1","F","PR","0",1.28571428571429,1.04490991702341
"1","F","PR","1",0.342857142857143,0.328881840949181
"1","F","PR","2",0.771428571428571,0.682133507789333
"1","F","PR","3",1.48571428571429,1.21889880044009
"1","F","PR","4",0.542857142857143,0.444926042925641
"1","F","PR","5",0.771428571428571,0.68957247920841
"1","F","PR","6",0.514285714285714,0.385978745317323
"1","F","PR","7",0.0571428571428571,0.0782460796435952
"1","F","PR","8",0.285714285714286,0.225876975726313
"1","F","PR","9",0.371428571428571,0.411567436882512
"1","F","PR","10",0.228571428571429,0.216653584115759
"1","F","PR","11",0.485714285714286,0.540219154319687
"1","F","PR","12",0.4,0.309706905552554
"1","F","PR","13",2,1.98976975388345
"1","F","PR","14",2.54285714285714,2.48341437113815
"1","F","PR","15",1.68571428571429,1.34922502321344
"1","F","PR","16",1.25714285714286,1.09916480352408
"1","F","PR","17",1.17142857142857,0.976248546472565
"1","F","PR","18",1,0.788954358370519
"1","F","PR","19",1.14285714285714,1.0973065354098
"1","F","PR","20",1.05714285714286,0.67461251160672
"1","F","PR","21",0.314285714285714,0.119522860933439
"1","F","PR","22",0.685714285714286,0.583794764048644
"1","F","PR","23",1.08571428571429,0.779848232226067
"1","M","NR","0",0.666666666666667,0.265985524643218
"1","M","NR","1",0.833333333333333,0.291605921759902
"1","M","NR","2",0.595238095238095,0.377063483711031
"1","M","NR","3",0.738095238095238,0.377063483711032
"1","M","NR","4",0.214285714285714,0.216653584115759
"1","M","NR","5",0.0476190476190476,0.0737711113563317
"1","M","NR","6",0.0714285714285714,0.0782460796435952
"1","M","NR","7",0.0952380952380952,0.116642368703961
"1","M","NR","8",0.0714285714285714,0.119522860933439
"1","M","NR","9",0.0476190476190476,0.116642368703961
"1","M","NR","10",0.166666666666667,0.107538950387012
"1","M","NR","11",0.142857142857143,0.18070158058105
"1","M","NR","12",0.261904761904762,0.167006456350002
"1","M","NR","13",1.38095238095238,1.08295388435808
"1","M","NR","14",1.45238095238095,1.69372591731756
"1","M","NR","15",1.42857142857143,1.38505138783324
"1","M","NR","16",1.21428571428571,0.911379309013519
"1","M","NR","17",0.785714285714286,0.335029697130245
"1","M","NR","18",1,0.571428571428571
"1","M","NR","19",0.5,0.401527694930149
"1","M","NR","20",0.380952380952381,0.173008591662714
"1","M","NR","21",0.30952380952381,0.291605921759902
"1","M","NR","22",0.261904761904762,0.107538950387012
"1","M","NR","23",0.619047619047619,0.295084445425327
"1","M","PR","0",0.547619047619048,0.418126693686004
"1","M","PR","1",0.5,0.369776545872708
"1","M","PR","2",1,0.556959676846226
"1","M","PR","3",0.904761904761905,0.597044876901237
"1","M","PR","4",1.14285714285714,0.645233702322069
"1","M","PR","5",0.261904761904762,0.398124856496733
"1","M","PR","6",0.238095238095238,0.280912022928621
"1","M","PR","7",0.119047619047619,0.107538950387012
"1","M","PR","8",0.0952380952380952,0.173008591662714
"1","M","PR","9",0.19047619047619,0.215077900774023
"1","M","PR","10",0.357142857142857,0.540219154319687
"1","M","PR","11",0.261904761904762,0.167006456350002
"1","M","PR","12",0.523809523809524,0.617213399848368
"1","M","PR","13",2.38095238095238,1.70872112738049
"1","M","PR","14",1.5,1.54325391723502
"1","M","PR","15",1.30952380952381,1.25654747806275
"1","M","PR","16",0.952380952380952,0.841120082507414
"1","M","PR","17",1,0.564240504518043
"1","M","PR","18",1.19047619047619,0.732157375001241
"1","M","PR","19",0.761904761904762,0.379760038807179
"1","M","PR","20",0.214285714285714,0.196914982172717
"1","M","PR","21",0.285714285714286,0.221313334068995
"1","M","PR","22",0.333333333333333,0.233284737407922
"1","M","PR","23",1.07142857142857,0.611121418177355
"2","F","NR","0",0.595238095238095,0.377063483711031
"2","F","NR","1",0.142857142857143,0.127775312999988
"2","F","NR","2",0.452380952380952,0.398124856496733
"2","F","NR","3",0.571428571428571,0.393829964345435
"2","F","NR","4",0.476190476190476,0.368855556781659
"2","F","NR","5",0.30952380952381,0.343055498177674
"2","F","NR","6",0.238095238095238,0.233284737407922
"2","F","NR","7",0.0714285714285714,0.0782460796435952
"2","F","NR","8",0.428571428571429,0.393829964345435
"2","F","NR","9",0.19047619047619,0.147542222712663
"2","F","NR","10",0.166666666666667,0.107538950387012
"2","F","NR","11",0.119047619047619,0.167006456350002
"2","F","NR","12",0.404761904761905,0.246057346338358
"2","F","NR","13",1.64285714285714,0.841524370001322
"2","F","NR","14",1.16666666666667,0.647864099295881
"2","F","NR","15",0.928571428571429,0.562429133857987
"2","F","NR","16",0.785714285714286,0.624336382383205
"2","F","NR","17",0.595238095238095,0.305282293806183
"2","F","NR","18",0.69047619047619,0.567246602002157
"2","F","NR","19",0.285714285714286,0.202030508910442
"2","F","NR","20",0.214285714285714,0.119522860933439
"2","F","NR","21",0.357142857142857,0.174963553055941
"2","F","NR","22",0.5,0.421368034392932
"2","F","NR","23",0.833333333333333,0.343055498177674
"2","F","PR","0",1.5,0.680635957118377
"2","F","PR","1",0.380952380952381,0.483749527588583
"2","F","PR","2",1.5952380952381,0.608891040597353
"2","F","PR","3",0.80952380952381,0.500340020440522
"2","F","PR","4",0.857142857142857,0.503051910333115
"2","F","PR","5",0.428571428571429,0.221313334068995
"2","F","PR","6",0.30952380952381,0.167006456350002
"2","F","PR","7",0.214285714285714,0.174963553055941
"2","F","PR","8",0.261904761904762,0.167006456350002
"2","F","PR","9",0.333333333333333,0.215077900774023
"2","F","PR","10",0.404761904761905,0.210280020626853
"2","F","PR","11",0.476190476190476,0.215077900774023
"2","F","PR","12",1.04761904761905,0.492114692676717
"2","F","PR","13",3.21428571428571,0.99693407556388
"2","F","PR","14",3.28571428571429,1.55969646445214
"2","F","PR","15",3.07142857142857,1.4134918406816
"2","F","PR","16",2.5952380952381,0.918813194874143
"2","F","PR","17",1.92857142857143,0.65621051873462
"2","F","PR","18",2.35714285714286,0.879471084092651
"2","F","PR","19",1.45238095238095,0.635138851389378
"2","F","PR","20",0.833333333333333,0.708068177662072
"2","F","PR","21",0.857142857142857,0.625968637148761
"2","F","PR","22",1.57142857142857,0.606091526731326
"2","F","PR","23",1.4047619047619,0.595333325715504
"2","M","NR","0",0.619047619047619,0.265985524643218
"2","M","NR","1",0.30952380952381,0.277255745295422
"2","M","NR","2",0.69047619047619,0.398124856496733
"2","M","NR","3",0.785714285714286,0.770634511957782
"2","M","NR","4",0.214285714285714,0.0782460796435952
"2","M","NR","5",0.285714285714286,0.221313334068995
"2","M","NR","6",0.166666666666667,0.107538950387012
"2","M","NR","7",0.19047619047619,0.346017183325428
"2","M","NR","8",0.0476190476190476,0.0737711113563317
"2","M","NR","9",0.119047619047619,0.228868854108532
"2","M","NR","10",0.0714285714285714,0.119522860933439
"2","M","NR","11",0.166666666666667,0.228868854108532
"2","M","NR","12",0.19047619047619,0.147542222712663
"2","M","NR","13",1.9047619047619,0.420560041253707
"2","M","NR","14",1.4047619047619,0.887172378927553
"2","M","NR","15",1.64285714285714,0.770634511957782
"2","M","NR","16",1,0.663940002206986
"2","M","NR","17",0.761904761904762,0.448732151976752
"2","M","NR","18",0.595238095238095,0.107538950387012
"2","M","NR","19",0.285714285714286,0.221313334068995
"2","M","NR","20",0.404761904761905,0.377063483711031
"2","M","NR","21",0.214285714285714,0.174963553055941
"2","M","NR","22",0.30952380952381,0.277255745295422
"2","M","NR","23",0.547619047619048,0.318371707627558
"2","M","PR","0",1.35714285714286,0.532610053780207
"2","M","PR","1",1.33333333333333,0.610564587612366
"2","M","PR","2",0.904761904761905,0.250170010220261
"2","M","PR","3",0.80952380952381,0.215077900774023
"2","M","PR","4",0.452380952380952,0.246057346338358
"2","M","PR","5",0.380952380952381,0.215077900774023
"2","M","PR","6",0.19047619047619,0.116642368703961
"2","M","PR","7",0.333333333333333,0.215077900774023
"2","M","PR","8",0.214285714285714,0.149829835452879
"2","M","PR","9",0.357142857142857,0.449489506358636
"2","M","PR","10",0.30952380952381,0.228868854108532
"2","M","PR","11",0.547619047619048,0.354753914898841
"2","M","PR","12",1.0952380952381,0.116642368703961
"2","M","PR","13",4.04761904761905,0.933138949631687
"2","M","PR","14",3.5952380952381,0.481635535561535
"2","M","PR","15",3.0952380952381,0.946170225296746
"2","M","PR","16",2.30952380952381,1.1335934075344
"2","M","PR","17",2.52380952380952,0.748695009791754
"2","M","PR","18",1.95238095238095,1.12727472220383
"2","M","PR","19",1.19047619047619,0.439542124160546
"2","M","PR","20",0.833333333333333,0.537694751935058
"2","M","PR","21",0.904761904761905,1.06777153662278
"2","M","PR","22",0.880952380952381,0.588437340250736
"2","M","PR","23",1.5952380952381,0.927655225656103
