MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/18/2023 11:03:47,21.98,68.05,1.16.3,FR1,14,3.91,nan,1,Right,Left,0,1,0,0,nan,nan,16.81
4/18/2023 11:28:28,22.26,67.23,1.16.3,FR1,14,3.91,nan,1,Right,Left,0,2,0,0,nan,nan,0.14
4/18/2023 11:39:43,22.29,66.93,1.16.3,FR1,14,3.91,nan,1,Left,Left,1,2,0,0,nan,nan,0.25
4/18/2023 11:40:14,22.32,66.87,1.16.3,FR1,14,3.89,4,1,Pellet,Left,1,2,1,0,25.51,nan,nan
4/18/2023 11:58:17,22.24,66.64,1.16.3,FR1,14,3.90,nan,1,Right,Left,1,3,1,0,nan,nan,0.16
4/18/2023 11:58:24,22.25,66.62,1.16.3,FR1,14,3.90,nan,1,Right,Left,1,4,1,0,nan,nan,0.31
4/18/2023 11:58:36,22.25,66.73,1.16.3,FR1,14,3.90,nan,1,Right,Left,1,5,1,0,nan,nan,0.28
4/18/2023 12:07:51,22.24,66.42,1.16.3,FR1,14,3.89,nan,1,Left,Left,2,5,1,0,nan,nan,0.19
4/18/2023 12:07:52,22.22,66.43,1.16.3,FR1,14,3.89,nan,1,LeftDuringDispense,Left,3,5,1,0,nan,nan,0.43
4/18/2023 12:23:14,22.21,66.81,1.16.3,FR1,14,3.89,nan,1,LeftWithPellet,Left,4,5,1,0,nan,nan,0.23
4/18/2023 12:24:30,22.19,66.80,1.16.3,FR1,14,3.90,3,1,Pellet,Left,4,5,2,0,Timed_out,2656,nan
4/18/2023 12:35:21,22.17,66.57,1.16.3,FR1,14,3.90,nan,1,Left,Left,5,5,2,0,nan,nan,0.03
4/18/2023 12:35:24,22.18,66.56,1.16.3,FR1,14,3.90,2,1,Pellet,Left,5,5,3,0,1.84,654,nan
4/18/2023 12:36:14,22.18,66.54,1.16.3,FR1,14,3.90,nan,1,Left,Left,6,5,3,0,nan,nan,0.10
4/18/2023 12:44:57,22.16,66.54,1.16.3,FR1,14,3.90,nan,1,RightWithPellet,Left,6,6,3,0,nan,nan,0.35
4/18/2023 12:45:04,22.18,66.56,1.16.3,FR1,14,3.89,nan,1,RightWithPellet,Left,6,7,3,0,nan,nan,0.11
4/18/2023 12:45:29,22.16,66.60,1.16.3,FR1,14,3.90,nan,1,LeftWithPellet,Left,7,7,3,0,nan,nan,0.03
4/18/2023 12:51:51,22.15,66.60,1.16.3,FR1,14,3.90,2,1,Pellet,Left,7,7,4,0,Timed_out,987,nan
