Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,1.5251722659984834,0.6235832385355786
FEDXA02,M,2,0.918915335,0.5976406274891213
FEDXA03,M,2,1.2527376837216666,0.4448013838265274
FEDXA04,M,2,1.197083721414994,0.4617683462129832
FEDXA05,M,2,1.1700813385624382,0.5345256168565756
FEDXA06,M,2,1.7978360483325533,0.6425847521244333
FEDXA07,M,1,0.3670025285738877,0.2677619563151327
FEDXA08,M,1,0.505118838,0.5121147560507616
FEDXA09,M,1,0.7093832974299885,0.3709853550539275
FEDXA10,M,1,0.4986482427155302,0.4042512434688984
FEDXA11,M,1,1.498660835197464,0.966718396
FEDXA12,M,1,0.8727520782199871,0.8563669162200916
FEDXB01,F,2,1.2089760961567058,0.5337927104974235
FEDXB02,F,2,1.4819620518917247,0.2707567651586183
FEDXB03,F,2,1.4032687016146144,0.7296824641691738
FEDXB04,F,2,1.665605660554576,0.373346537
FEDXB05,F,2,1.2473746179956289,0.5794946514568682
FEDXB06,F,2,0.935304777,0.6146532132538328
FEDXB07,F,1,0.7957146612770617,0.4430362091852892
FEDXB08,F,1,0.3402499809314094,0.1659838495079764
FEDXB10,F,1,1.367958184684311,1.2399431775109508
FEDXB11,F,1,1.9112140249185716,1.7617620265553882
FEDXB12,F,1,0.2074115747181558,0.1135541108580307
