"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order2 SexF - NR1 Order2 SexF",-0.109225881166667,0.0925206996923402,19,-1.18055615154097,1,"F"
"NR0 Order2 SexF - NR2 Order2 SexF",0.112269841,0.0962814359597078,19,1.16605906300549,1,"F"
"NR0 Order2 SexF - NR3 Order2 SexF",-0.163412008666667,0.182870564670562,19,-0.893593832124105,1,"F"
"NR0 Order2 SexF - NR4 Order2 SexF",-0.164405858333333,0.10252926859369,19,-1.60350171798116,0.75190856760742,"F"
"NR0 Order2 SexF - NR5 Order2 SexF",-0.0656900946666666,0.152903328801722,19,-0.429618473197863,1,"F"
"NR0 Order2 SexF - NR6 Order2 SexF",-0.0299409860000002,0.147449587836757,19,-0.203059136612495,1,"F"
