"","Factor","Sum.Sq","Df","F.value","Pr..F."
"Sex","Sex",0.498042280861278,1,2.57737320338294,0.116681093779381
"Order","Order",0.502964807593085,1,2.60284732270782,0.114946949549426
"Diet_Phase","Diet_Phase",2.15364683313418,1,11.1451413877382,0.00189526568630336
"Sex:Order","Sex:Order",0.115067923014039,1,0.595477518158588,0.445081279392687
"Sex:Diet_Phase","Sex:Diet_Phase",0.0610632043499928,1,0.316002621970573,0.577321023790963
"Order:Diet_Phase","Order:Diet_Phase",0.270719426459776,1,1.40097542358451,0.243912053911874
"Sex:Order:Diet_Phase","Sex:Order:Diet_Phase",0.35250720989586,1,1.82422792541571,0.184799621811156
"Residuals","Residuals",7.34298263359287,38,NA,NA
