"","Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1","F",1,"NR",1.358310113064,0.635926970147329,5
"2","F",1,"PR",1.75517042435216,0.755538866664047,5
"3","F",2,"NR",1.70323066694522,0.403146646514977,6
"4","F",2,"PR",2.03958195890872,0.218500564777802,6
"5","M",1,"NR",1.36588731705716,0.144167973988595,6
"6","M",1,"PR",1.54079623075195,0.394099897274521,6
"7","M",2,"NR",1.1588732375135,0.380846563445107,6
"8","M",2,"PR",1.97577586771759,0.396219510309333,6
