"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",-12.4166666666667,2.48560671481647,21,-4.99542690830857,0.000666472545528654
"PR0 Order2 - PR2 Order2",-15.4166666666667,2.643574483722,21,-5.8317504430444,0.000112648796142557
"PR0 Order2 - PR3 Order2",-13.6666666666667,3.05158472144709,21,-4.47854734971468,0.00165562327674077
"PR0 Order2 - PR4 Order2",-9.25000000000001,3.1989553444547,21,-2.89156896673616,0.0349190168839847
"PR0 Order2 - PR5 Order2",-2.49999999999999,3.19140485289236,21,-0.783354076100451,0.884329881481728
"PR0 Order2 - PR6 Order2",1.66666666666666,2.97435729978786,21,0.560345143061842,0.884329881481728
"PR0 Order2 - NR0 Order2",10.0833333333333,2.8574908097409,21,3.52873692505336,0.00996268678901915
"PR0 Order2 - NR1 Order2",8.41666666666667,3.04535717719619,21,2.76376995437224,0.0349190168839847
"PR0 Order2 - NR2 Order2",11.75,2.66062288598255,21,4.41625908801457,0.00168107387433691
"PR0 Order2 - NR3 Order2",12.5,2.74959002584846,21,4.54613228971938,0.0016474149978375
"PR0 Order2 - NR4 Order2",11,2.69813681638687,21,4.07688740363075,0.00324390237492008
"PR0 Order2 - NR5 Order2",12.0833333333333,2.64166330952395,21,4.57413830512369,0.0016474149978375
"PR0 Order2 - NR6 Order2",13.1666666666667,2.55236170331524,21,5.158620993868,0.000495019389266522
