"Effect","df","MSE","F","pes","p.value"
"Order","1, 21","1081.05","1.64",".073",".214"
"phase","1, 21","122.80","83.09 ***",".798","<.001"
"Order:phase","1, 21","122.80","35.69 ***",".630","<.001"
"day","3.51, 73.67","79.85","5.63 ***",".211","<.001"
"Order:day","3.51, 73.67","79.85","2.84 *",".119",".036"
"phase:day","3.58, 75.27","79.66","2.91 *",".122",".032"
"Order:phase:day","3.58, 75.27","79.66","2.84 *",".119",".035"
