"Order","phase","day","n","mean","sd"
"1","NR","0",11,12.3636363636364,9.4791637529133
"1","NR","1",11,14.6363636363636,16.10138333978
"1","NR","2",11,16.7272727272727,14.4505426132786
"1","NR","3",11,16.6363636363636,15.6924996560314
"1","NR","4",11,15.2727272727273,11.7054765737317
"1","NR","5",11,17.0909090909091,14.067370368726
"1","NR","6",11,13.9090909090909,10.6250133689755
"1","PR","0",11,14.9090909090909,11.1575494213967
"1","PR","1",11,18.9090909090909,17.2768894506769
"1","PR","2",11,19.6363636363636,11.9605411856883
"1","PR","3",11,20.9090909090909,12.628971022649
"1","PR","4",11,20.2727272727273,13.0544315011486
"1","PR","5",11,19.7272727272727,13.0314305361377
"1","PR","6",11,19.4545454545455,16.741347833216
"2","NR","0",12,13.75,5.1895874770369
"2","NR","1",12,15.4166666666667,5.3335700705034
"2","NR","2",12,12.0833333333333,3.98767039153378
"2","NR","3",12,11.3333333333333,5.19323569364004
"2","NR","4",12,12.8333333333333,5.3907890016774
"2","NR","5",12,11.75,6.21032864011091
"2","NR","6",12,10.6666666666667,5.19323569364004
"2","PR","0",12,23.8333333333333,8.45128643605472
"2","PR","1",12,36.25,13.4510898510797
"2","PR","2",12,39.25,12.5127207999772
"2","PR","3",12,37.5,11.5325625946708
"2","PR","4",12,33.0833333333333,11.9579439805689
"2","PR","5",12,26.3333333333333,9.89337090575239
"2","PR","6",12,22.1666666666667,6.37941766127361
