"diet","hour","emmean","SE","df","lower.CL","upper.CL"
"NR","0",0.286904761904819,0.0596682536610608,247.070802102411,0.169381454892143,0.404428068917494
"PR","0",0.209523809523822,0.0596682536610613,247.070802102341,0.0920005025111451,0.327047116536498
"NR","1",0.232142857142868,0.0596682536610605,247.070802102293,0.114619550130193,0.349666164155544
"PR","1",0.122619047619059,0.0596682536610609,247.070802102284,0.00509574060638293,0.240142354631734
"NR","2",0.171428571428582,0.0596682536610606,247.070802102293,0.053905264415907,0.288951878441257
"PR","2",0.116666666666677,0.059668253661061,247.070802102275,-0.000856640345998763,0.234189973679353
"NR","3",0.28452380952382,0.0596682536610605,247.070802102284,0.167000502511145,0.402047116536495
"PR","3",0.0726190476190584,0.0596682536610605,247.070802102284,-0.0449042593936167,0.190142354631733
"NR","4",0.317857142857154,0.0596682536610607,247.070802102288,0.200333835844478,0.435380449869829
"PR","4",0.127380952380963,0.0596682536610609,247.07080210228,0.00985764536828719,0.244904259393639
"NR","5",0.272619047619058,0.0596682536610605,247.070802102288,0.155095740606383,0.390142354631734
"PR","5",0.221428571428582,0.0596682536610603,247.07080210228,0.103905264415907,0.338951878441257
"NR","6",0.230952380952392,0.0596682536610605,247.070802102293,0.113429073939717,0.348475687965067
"PR","6",0.127380952380963,0.0596682536610608,247.070802102288,0.00985764536828762,0.244904259393639
"NR","7",0.192857142857154,0.0596682536610604,247.070802102288,0.0753338358444792,0.310380449869829
"PR","7",0.108333333333344,0.0596682536610606,247.070802102271,-0.00918997367933114,0.225856640346019
"NR","8",0.223809523809534,0.0596682536610605,247.070802102288,0.106286216796859,0.34133283082221
"PR","8",0.151190476190487,0.0596682536610606,247.070802102275,0.0336671691778114,0.268713783203162
"NR","9",0.175000000000011,0.0596682536610606,247.070802102288,0.0574766929873358,0.292523307012686
"PR","9",0.158333333333344,0.0596682536610609,247.07080210228,0.0408100263206681,0.27585664034602
"NR","10",0.280952380952392,0.0596682536610604,247.070802102288,0.163429073939717,0.398475687965067
"PR","10",0.205952380952392,0.0596682536610605,247.070802102284,0.0884290739397168,0.323475687965067
"NR","11",0.498809523809535,0.0596682536610606,247.07080210228,0.38128621679686,0.61633283082221
"PR","11",0.263095238095249,0.0596682536610606,247.070802102284,0.145571931082573,0.380618545107924
"NR","12",0.517857142857154,0.0596682536610604,247.070802102288,0.400333835844479,0.635380449869829
"PR","12",0.390476190476201,0.0596682536610608,247.07080210228,0.272952883463526,0.507999497488877
"NR","13",0.403571428571439,0.0596682536610604,247.070802102284,0.286048121558764,0.521094735584114
"PR","13",0.172619047619058,0.0596682536610607,247.07080210228,0.0550957406063825,0.290142354631733
"NR","14",0.830952380952392,0.0596682536610606,247.07080210228,0.713429073939717,0.948475687965067
"PR","14",0.292857142857153,0.0596682536610609,247.070802102293,0.175333835844477,0.410380449869829
"NR","15",0.854761904761915,0.0596682536610605,247.070802102284,0.73723859774924,0.97228521177459
"PR","15",0.448809523809534,0.0596682536610607,247.070802102284,0.331286216796859,0.56633283082221
"NR","16",0.952380952380964,0.0596682536610605,247.070802102284,0.834857645368289,1.06990425939364
"PR","16",0.370238095238106,0.0596682536610605,247.070802102284,0.252714788225431,0.487761402250781
"NR","17",0.871428571428582,0.0596682536610607,247.070802102288,0.753905264415907,0.988951878441258
"PR","17",0.473809523809534,0.0596682536610609,247.070802102293,0.356286216796859,0.59133283082221
"NR","18",0.714285714285725,0.0596682536610606,247.070802102293,0.59676240727305,0.831809021298401
"PR","18",0.38452380952382,0.0596682536610605,247.070802102284,0.267000502511145,0.502047116536495
"NR","19",0.516666666666678,0.0596682536610604,247.070802102288,0.399143359654004,0.634189973679353
"PR","19",0.301190476190487,0.0596682536610603,247.070802102284,0.183667169177812,0.418713783203162
"NR","20",0.404761904761915,0.0596682536610605,247.070802102288,0.28723859774924,0.522285211774591
"PR","20",0.395238095238106,0.0596682536610609,247.070802102293,0.27771478822543,0.512761402250781
"NR","21",0.447619047619058,0.0596682536610605,247.070802102284,0.330095740606383,0.565142354631734
"PR","21",0.260714285714296,0.0596682536610604,247.070802102284,0.143190978701621,0.378237592726971
"NR","22",0.46904761904763,0.0596682536610606,247.070802102284,0.351524312034955,0.586570926060305
"PR","22",0.248809523809534,0.0596682536610606,247.070802102284,0.131286216796859,0.366332830822209
"NR","23",0.540476190476201,0.0596682536610605,247.070802102288,0.422952883463526,0.657999497488877
"PR","23",0.297619047619058,0.0596682536610606,247.07080210228,0.180095740606383,0.415142354631733
