"Factor","Sum.Sq","Df","F.value","Pr..F."
"Order",162729.966403163,1,5.70487362733578,0.0214893619975675
"Diet_Phase",24610.7826086953,1,0.862787646035619,0.358267660907586
"Order:Diet_Phase",53668.4295125164,1,1.88147035800367,0.177450614014828
"Residuals",1198038.56060606,42,NA,NA
