Mouse,Sex,Order,G0,G1,G2,PR0,PR1,PR2,PR3,PR4,PR5,PR6,NR0,NR1,NR2,NR3,NR4,NR5,NR6
FEDXA01,M,2,1.0748866108370183,0.8594902043395828,0.5695439997079264,0.5167216879575139,1.194029850746268,0.4107557144487126,0.3271636727151557,0.5628991712873312,0.893314102,0.7502022604133466,1.0861366721979182,0.953558185,0.7849374102195772,0.7593034445484387,0.7641058899829021,0.8589937842255339,0.862234144
FEDXA02,M,2,0.8873308867831518,0.3171566653242045,0.4956288290768911,0.2782393631410133,92.30769230765516,0.3137437178630565,0.2204396546445411,0.2199547870715464,0.2945066332165308,0.4021797147503138,0.9505319562009784,0.636867555,0.3420288281440864,0.5172000957777956,0.468488567,0.4095962551199534,0.6062019118675684
FEDXA03,M,2,0.4666580248513916,0.6512890094979648,0.6228104320747371,0.6311913737178928,0.2564102564102564,3.1427324312527323,0.2411317114993033,0.3844254308100964,0.4579337013763451,0.7425382188789128,1.5832440009895274,1.1471994116926094,0.8354412754403471,1.1309232103140203,1.008197973420235,0.5472788081483735,0.7965431070387334
FEDXA04,M,2,0.4778972520908004,0.5201560468140443,0.6394721816913026,0.3609263777027705,0,0.5796168088874574,1.0932280595201922,0.3647785996554867,0.5495344222256142,0.6613756613756612,1.3817304529005374,0.9516599978371364,0.9324861726927822,1.1043085929012386,0.8185332087007047,0.6529151452131645,0.9814740285873788
FEDXA05,M,2,1.1875700996239362,0.8196623087155028,0.7328430748874017,0.3013981525409538,0,0.2739204869697545,0.1479614204296361,0.4147040753635061,0.2750569215018105,0.4030734349414284,0.6961566352429296,0.5948144382308083,0.7405525102552003,0.662406006,0.54981203,0.6664374685954565,0.681329674
FEDXA06,M,2,2.0351630957091986,1.0223279258812257,0,0.277713492,0.2329493982140545,0,0,39.999999999990905,0.4345202172601081,42.85714285712963,0.6140201262152482,0.8076779259628568,0.3733665214685748,0.940084143,0.5324918647076229,0.608290778,0.3710814188710364
FEDXA07,M,1,0.9068898436734636,1.094412942622626,0.8065218744165783,0.2894065156661374,0.2429412082276089,0.2718725219952421,0.2910031525341524,0.4092872843030747,0.4437979240119334,0.516269665,0.7258552322064655,0.6399379454113541,0.5132510653127821,0.5780888276305052,0.3253964154744073,0.3780938933168403,0.7949827753732006
FEDXA08,M,1,1.156085505647785,0.8751245837080974,0.6461621302837214,0.7060801344914541,0.4466738748958646,0.4204747861126521,0.7572835956947024,1.031223145230593,0.4968258349434171,0.6523284501623853,0.4996183470959683,0.4704915890293311,0.5384787973973522,0.4791885740146686,0.7073618024626672,0.4631416441528367,0.5968746977631015
FEDXA09,M,1,0.6275421266705403,0.5358578190586764,0.5435671594841144,2.0797227036395163,0.542822678,0.2046035805626598,0.3690036900369005,0.4804868933852972,0.6676380977612928,0.4384591293454438,0.8179215704094152,0.5105555330442888,0.3293816252107651,0.5420054200542005,0.3002418614995413,0.7006071929005139,0.5495810292770639
FEDXA10,M,1,1.3365785239882846,0.901720388,0.8636145551880002,0.4651282978888343,0.5478409739395094,0.6148459682756556,0.7142148596369411,0.695432274,0.4132705774308348,0.3742057871964452,0.3905741439916678,0.3963351233654235,0.43715847,0.4269956114339935,0.7818834704042624,0.3757044458359425,1.2547253277567747
FEDXA11,M,1,0.8329220138203357,0.5646650016288414,0.8129791406667853,0.4222972972972973,1.124999999999998,0.3512949120786899,0.3955112610845171,0.3418608626289101,0.4102668000455851,0.4270245539118503,0.5361785095320625,0.3650428056147059,0.3685456523130079,0.4391468005018821,0.351498139,0.2997288167848138,0.4287449682014143
FEDXA12,M,1,0.6544173168890007,0.5638140979626997,0.6815897936297569,0.3122018905558928,0.4507243784653907,0.3732245913536304,0.4190377651319193,0.8215426745778188,0.5142923934077068,0.5708766416307466,0.391620563,0.615975887,0.3680542539233559,0.3656957106940599,0.3010141309411469,0.3788562150460041,0.223190068
FEDXB01,F,2,1.574427481,1.0049583261329045,0.9887157442235356,0.5217013259908702,3.619909502262431,37.113402061863326,0.1544666609456792,0.1393458486549255,37.89473684212612,0,0.6796299792335285,0.626650033,0.6012275061584069,3.5999999999999592,0.6919085143186601,0.8638617821148649,0.3765887337203827
FEDXB02,F,2,0.7885843034171987,0.4112674217449489,0.9653592062602075,0.4848076761215386,0.3857418387027645,0.2901665771090811,0.1422475106685632,34.615384615370694,31.858407079665376,0.6928073129660799,0.4939336325682589,0.3791369368894974,0.3427918491715863,0.3583210101239906,0.6878893262506208,0.552268245,0.3842322470471038
FEDXB03,F,2,0.1226429556952322,0.4800832144238335,0.6227627779478103,14.035087719298238,0,0.1649283020020462,0,0.4992372763833034,0.4664874145582948,0.2542971509300684,0.2938655565078977,0.3573555687909469,0.2305992377414086,1.9142148174406348,0.282330798,0.1554068638031513,0.315833801
