Mouse,Sex,Order,G0,G1,G2,PR0,PR1,PR2,PR3,PR4,PR5,PR6,NR0,NR1,NR2,NR3,NR4,NR5,NR6
FEDXA01,M,2,8,9.117647058823527,8.230769231,7,7,6.333333333333333,8.166666666666666,6.846153846153846,6.625,7.647058823529412,8.136363636363637,7.444444444444445,7.647058823529412,7.125,8.055555555555555,8.5,8.2
FEDXA02,M,2,6.777777777777778,7.571428571428571,7.6,6.5,9,6,7,6.75,6.833333333333333,6.222222222222222,7.823529411764706,6.583333333333333,7.428571428571429,6.666666666666667,6.571428571428571,7.428571428571429,7.230769230769231
FEDXA03,M,2,6.571428571428571,7.714285714285714,6.666666666666667,6,6.666666666666667,6.5,7,8.125,6.3,6.882352941176471,8.1875,8.730769231,7.7,8,7.045454545454546,8,7.764705882352941
FEDXA04,M,2,6.875,8.5,7.357142857142857,8.166666666666666,0,6.666666666666667,6,8,7.416666666666667,7.933333333333334,7.642857142857143,8.5,7.764705882352941,7.541666666666667,7.888888888888889,8.2,7.476190476190476
FEDXA05,M,2,9,9.684210526,10.375,7.666666666666667,0,7,7,7.555555555555555,6.4,6.875,8.666666666666666,7.230769230769231,7.176470588235294,7.533333333333333,6.923076923076923,7.642857142857143,7
FEDXA06,M,2,8.1,8.916666666666666,0,8,6,0,0,6,7.8,7,7.636363636363637,7.555555555555555,6.333333333333333,7,6.444444444444445,7.555555555555555,6.625
FEDXA07,M,1,8.055555555555555,8.260869565,8.222222222222221,6.25,7.4,7,8,6.777777777777778,7.4,6.8,7.166666666666667,7.545454545454546,7,7.416666666666667,6.571428571428571,8,6.7
FEDXA08,M,1,8.652173913043478,7.95,7.642857142857143,8.142857142857142,7.428571428571429,7.375,7.166666666666667,7.363636363636363,7.818181818181818,8,6.666666666666667,8.428571428571429,7.25,7,7.916666666666667,9.818181818181818,8.833333333333334
FEDXA09,M,1,7.222222222222222,6.4,7.583333333333333,6.5,8,7,6.875,7,6.714285714285714,8.428571428571429,7.8,6.428571428571429,7.714285714285714,6.8,6.666666666666667,8.266666666666667,6.555555555555555
FEDXA10,M,1,7.333333333333333,8.842105263157896,7.2105263157894735,7.6,8.75,7.625,7,7.727272727272727,8,7.375,7.4,7.444444444444445,6.555555555555555,7.333333333333333,7.066666666666666,7.714285714285714,7
FEDXA11,M,1,8.066666666666666,9.384615384615383,8.789473684210526,8.4,9.666666666666666,12.2,7.285714285714286,6.6,6.888888888888889,7,8.636363636363637,6.428571428571429,7.375,8.857142857142858,6.75,8.428571428571429,7.1
FEDXA12,M,1,8.230769231,6.75,7.846153846153846,7.25,7.571428571428571,8,8.222222222222221,7.875,7.636363636363637,8.363636363636363,8.857142857142858,6.307692307692308,7,7.5,6.285714285714286,7.428571428571429,8.5
FEDXB01,F,2,8.818181818181818,8.761904761904763,7.869565217391305,6.75,9,6,7.666666666666667,6,9,0,6.833333333333333,6.666666666666667,7.5,6,9,6.333333333333333,7
FEDXB02,F,2,6.571428571428571,7.285714285714286,7.363636363636363,10.25,6,6.333333333333333,11.5,6,8,6.375,6.285714285714286,6.875,6,6.285714285714286,7,6.571428571428571,6.666666666666667
FEDXB03,F,2,6,6.9,6.769230769230769,8.5,0,6.333333333333333,0,8.5,7.25,6.333333333333333,7,7,6.75,6.666666666666667,6.5,6,6.6
FEDXB04,F,2,6.2,7.285714285714286,7.818181818181818,0,6,7,6.75,7,7,6.285714285714286,7.333333333333333,8.222222222222221,7.076923076923077,8.071428571428571,7.571428571428571,7.4,7.666666666666667
FEDXB05,F,2,8,7.222222222222222,7.5,7,6,7.833333333333333,6.5,8.333333333333334,6.7,6.428571428571429,6.5,6.333333333333333,6.8,6.25,6.166666666666667,8.333333333333334,7.333333333333333
FEDXB06,F,2,7.772727272727272,8.230769231,7.705882352941177,0,6,6,6,6,6.8,8,12,7.818181818181818,7.25,7.285714285714286,7.117647058823529,7.6521739130434785,7.444444444444445
FEDXB07,F,1,7.619047619047619,7,7.631578947368421,6,6.5,6.8,6.5,6.8,6.4,6.333333333333333,7.785714285714286,6.5,7.636363636363637,6.888888888888889,6.727272727272728,7.6,7.666666666666667
FEDXB08,F,1,6.8,9.428571428571429,8.611111111,7,7.7,7,7.615384615384615,6.866666666666666,8.111111111,6.625,7.714285714285714,8.071428571428571,8.083333333333334,7.727272727272727,7.642857142857143,7.375,7.833333333333333
FEDXB10,F,1,7.4,6.636363636363637,7,6.5,7,7,6,6.666666666666667,7.25,7.25,8,9.666666666666666,6.25,9,8.2,6.833333333333333,7.666666666666667
FEDXB11,F,1,8.263157894736842,7.857142857142857,7,6.333333333333333,6.25,7,0,6.5,6.5,6,6.5,6,6,6.666666666666667,6.5,6.666666666666667,7.666666666666667
FEDXB12,F,1,7.666666666666667,8.80952381,9.333333333333334,7.7,8.428571428571429,8.25,8.428571428571429,8.916666666666666,7.222222222222222,7.2,7.6,7.666666666666667,7.357142857142857,7.444444444444445,8.294117647058824,7.722222222222222,8.333333333333334
