"Order","Sex","phase","day","n","mean","sd"
"1","F","NR","0",5,9.8,6.26099033699941
"1","F","NR","1",5,9.4,6.8044103344816
"1","F","NR","2",5,8.6,5.27257053058563
"1","F","NR","3",5,8.6,6.50384501660364
"1","F","NR","4",5,10.6,5.12835256198323
"1","F","NR","5",5,11.2,5.58569601750758
"1","F","NR","6",5,12,6.36396103067893
"1","F","PR","0",5,4.6,3.36154726279432
"1","F","PR","1",5,7.8,5.21536192416212
"1","F","PR","2",5,7,6.04152298679729
"1","F","PR","3",5,7.2,6.53452370108182
"1","F","PR","4",5,8.4,5.68330889535313
"1","F","PR","5",5,8,5.95818764390649
"1","F","PR","6",5,6.8,5.26307894677631
"1","M","NR","0",6,7.66666666666667,3.07679486912382
"1","M","NR","1",6,9,2.5298221281347
"1","M","NR","2",6,7.83333333333333,1.16904519445001
"1","M","NR","3",6,9.33333333333333,1.75119007154183
"1","M","NR","4",6,9.16666666666667,3.54494945897211
"1","M","NR","5",6,9.33333333333333,3.20416395751944
"1","M","NR","6",6,9.66666666666667,3.14112506383727
"1","M","PR","0",6,4.5,1.6431676725155
"1","M","PR","1",6,4.66666666666667,2.06559111797729
"1","M","PR","2",6,6,1.89736659610103
"1","M","PR","3",6,8.66666666666667,2.16024689946929
"1","M","PR","4",6,10.3333333333333,3.55902608401044
"1","M","PR","5",6,10.6666666666667,1.86189867250253
"1","M","PR","6",6,9.33333333333333,2.42212028327799
"2","F","NR","0",6,6.83333333333333,3.31159578853861
"2","F","NR","1",6,9,5.3665631459995
"2","F","NR","2",6,6.83333333333333,3.43025752191678
"2","F","NR","3",6,7,4.04969134626332
"2","F","NR","4",6,7.66666666666667,6.34560215162176
"2","F","NR","5",6,8.83333333333333,8.44787941833136
"2","F","NR","6",6,11.3333333333333,8.06639117986889
"2","F","PR","0",6,2.66666666666667,3.01109061083632
"2","F","PR","1",6,2.16666666666667,2.13697605664328
"2","F","PR","2",6,3.5,1.7606816861659
"2","F","PR","3",6,2.16666666666667,1.32916013582513
"2","F","PR","4",6,3.5,2.07364413533277
"2","F","PR","5",6,4.66666666666667,3.50238014308365
"2","F","PR","6",6,4.83333333333333,3.06050104830347
"2","M","NR","0",6,20.3333333333333,8.54790422657312
"2","M","NR","1",6,16.6666666666667,6.50128192487194
"2","M","NR","2",6,13.5,6.8044103344816
"2","M","NR","3",6,16.3333333333333,6.97614984548545
"2","M","NR","4",6,14.5,5.82237065120385
"2","M","NR","5",6,12.8333333333333,4.62240918425302
"2","M","NR","6",6,15.5,4.84767985741633
"2","M","PR","0",6,3.83333333333333,1.32916013582513
"2","M","PR","1",6,1.5,1.37840487520902
"2","M","PR","2",6,2.5,1.37840487520902
"2","M","PR","3",6,3.33333333333333,2.16024689946929
"2","M","PR","4",6,7,4.14728827066554
"2","M","PR","5",6,9,4.47213595499958
"2","M","PR","6",6,11.1666666666667,6.33771778061051
