"Factor","Sum.Sq","Df","F.value","Pr..F."
"Sex",32572.1219336225,1,1.16424079275795,0.287389280233252
"Order",169072.773448773,1,6.04324827823376,0.0186304984656557
"Diet_Phase",24610.7826086953,1,0.879674867763654,0.354214099272248
"Sex:Order",92126.250793651,1,3.29291224797675,0.0774797286256329
"Sex:Diet_Phase",9654.37518037506,1,0.345080908038111,0.560385636992699
"Order:Diet_Phase",55644.6782106783,1,1.98893410766365,0.166585934761945
"Sex:Order:Diet_Phase",554.679365079384,1,0.0198261674521086,0.888767430182085
"Residuals",1063131.13333333,38,NA,NA
