"Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
1,"NR",1341.63636363636,71.9712063637573,11
1,"PR",1366.72727272727,209.591550835949,11
2,"NR",1529.08333333333,233.623807291409,12
2,"PR",1417.41666666667,98.4299089184632,12
