Mouse ID,Sex,Order,Phase,Hour,Meals,Snacks,Mega Meals
FEDXA01,M,2,NR,0,0.7142857142857143,0.5714285714285714,0.5714285714285714
FEDXA01,M,2,NR,1,0.2857142857142857,0.42857142857142855,1
FEDXA01,M,2,NR,2,0.8571428571428571,0.42857142857142855,0.14285714285714285
FEDXA01,M,2,NR,3,0.5714285714285714,0.14285714285714285,0.8571428571428571
FEDXA01,M,2,NR,4,0.5714285714285714,0.2857142857142857,0.8571428571428571
FEDXA01,M,2,NR,5,0.42857142857142855,0.14285714285714285,0.7142857142857143
FEDXA01,M,2,NR,6,0,0.2857142857142857,0.5714285714285714
FEDXA01,M,2,NR,7,0.14285714285714285,0,0.2857142857142857
FEDXA01,M,2,NR,8,0.14285714285714285,0,0.2857142857142857
FEDXA01,M,2,NR,9,0,0,0.42857142857142855
FEDXA01,M,2,NR,10,0.14285714285714285,0.14285714285714285,0.7142857142857143
FEDXA01,M,2,NR,11,0.42857142857142855,0,1
FEDXA01,M,2,NR,12,0.2857142857142857,0,0.8571428571428571
FEDXA01,M,2,NR,13,1.7142857142857142,1.7142857142857142,1.2857142857142858
FEDXA01,M,2,NR,14,1.8571428571428572,2.857142857142857,1.2857142857142858
FEDXA01,M,2,NR,15,0.7142857142857143,2.7142857142857144,2.142857142857143
FEDXA01,M,2,NR,16,0.7142857142857143,2.2857142857142856,2.2857142857142856
FEDXA01,M,2,NR,17,0.8571428571428571,1.2857142857142858,2.5714285714285716
FEDXA01,M,2,NR,18,0.7142857142857143,0.5714285714285714,1.7142857142857142
FEDXA01,M,2,NR,19,0.2857142857142857,0.14285714285714285,0.7142857142857143
FEDXA01,M,2,NR,20,0.5714285714285714,0.2857142857142857,1.1428571428571428
FEDXA01,M,2,NR,21,0.2857142857142857,0.14285714285714285,0.5714285714285714
FEDXA01,M,2,NR,22,0.14285714285714285,0,0.5714285714285714
FEDXA01,M,2,NR,23,0.14285714285714285,0.2857142857142857,1.4285714285714286
FEDXA01,M,2,PR,0,0.8571428571428571,0.7142857142857143,0.2857142857142857
FEDXA01,M,2,PR,1,1.7142857142857142,1.2857142857142858,0.42857142857142855
FEDXA01,M,2,PR,2,0.8571428571428571,0.5714285714285714,0.5714285714285714
FEDXA01,M,2,PR,3,0.2857142857142857,0.7142857142857143,0.5714285714285714
FEDXA01,M,2,PR,4,0.5714285714285714,0.5714285714285714,0.42857142857142855
